Alimento|Código|Categoría
Lampalagua (serpiente)|C065|
Leberwurst|C054|
Liebre|C127|
Lengua|C013|
Lomito ahumado|C056|
Lomo|C085|
Llama|C128|
Longaniza|C055|
Matambre (corte de carne)|C080|
Matambre (fiambre)|C057|
Medallón de pollo relleno de jamón y queso, prefrito congelado|C114|
Milanesa de carne vacuna rebozada (carnicería)|C106|
Milanesa de cerdo (carnicería)|C126|
Milanesa de pollo rebozada (pollería / granja)|C068|
Milanesa de pollo, prefrita congelada|C069|
Mollejas|C014|
Mondongo|C015|
Morcilla|C016|
Mortadela|C017|
Nalga|C081|
Nuggets o patitas de pollo|C070|
Nutria|C112|
Osobuco|C108|
Paleta (corte de carne)|C087|
Paleta (fiambre)|C097|
Palomita (corte de carne)|C091|
Panceta|C006|
Pastrón|C058|
Paté / picadillo|C018|
Pato|C019|
Pavo|C020|
Peceto|C083|
Perdiz|C063|
Pollo con piel|C021|
Pollo sin piel|C023|
Pollo, alitas|C125|
Pollo, menudos|C022|
Pollo, pechuga sin piel|C059|
Queso de cerdo|C024|
Rana|C117|
Riñón|C025|
Roast beef|C086|
Salame|C026|
Salchicha de viena|C027|
Salchicha de viena light|C066|
Salchicha parrillera|C028|
Salchicha rellena con cheddar|C119|
Salchichón|C067|
Sesos|C029|
Suprema de pollo con espinaca y queso, prefrita congelada|C071|
Suprema de pollo con jamón y queso, prefrita congelada|C072|
Tatú|C096|
Tortuguita|C090|
Ubre|C030|
Vacío|C077|
Vacuno, cortes grasos, con hueso (ej: asado), PROMEDIO|C032|
Vacuno, cortes grasos, sin hueso (ej: vacío, carne picada común, aguja, falda, alita,duro, matambre), PROMEDIO|C031|
Vacuno, cortes magros, sin hueso (ej: nalga, bola de lomo, peceto, cuadrada, picada intensamente desgrasada), PROMEDIO|C033|
Vacuno, cortes magros, con hueso, PROMEDIO|C034|
Vacuno, cortes semigrasos, con hueso (ej: bife angosto), PROMEDIO|C036|
Vacuno, cortes semigrasos, sin hueso (ej: lomo, carne picada especial, roast beef,paleta, bife angosto, tortuguita, palomita), PROMEDIO|C035|
Vizcacha|C060|
Huevo de gallina, entero|H001|
Huevo de gallina, clara|H002|
Huevo de gallina, yema|H003|
Huevo de codorníz, entero|H004|
Abadejo|P029|
Almeja|P042|
Anchoa, enlatada en aceite|P010|
Anchoa, pasta|P009|
Atún, enlatado en aceite|P008|
Atún, enlatado al natural|P007|
Atún, lomito fresco|P028|
Bocaditos de pescado, prefritos|P041|
Brótola|P021|
Caballa, enlatada|P012|
Caballa, tronco|P011|
Calamar|P003|
Camarón|P004|
Cornalitos|P031|
Corvina|P023|
Dorado|P035|
Gatuzo|P024|
Hamburguesa de pescado (pescadería)|P046|
Kani Kama|P039|
Langostino|P005|
Lenguado|P022|
Medallón de pescado relleno con queso y espinaca, prefrito|P043|
Mejillón|P006|
Merluza|P020|
Merluza, enlatada en agua y aceite|P045|
Milanesa de pescado, prefrita|P040|
Pacú|P036|
Palometa|P033|
Pejerrey|P030|
Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.), PROMEDIO |P001|
Pescados de río (ej: dorado, palometa, surubí, trucha, etc.), PROMEDIO|P002|
Pollo de mar|P025|
Pulpo|P038|
Rabas (restaurant)|P047|
Sábalo|P037|
Salmón blanco|P026|
Salmón rosado|P027|
Sardinas, enlatadas al natural|P044|
Sardinas, enlatadas en aceite|P013|
Surubí|P034|
Trucha|P032|
Aceite comestible mezcla|Z003|
Aceite comestible mezcla, para cocción|Z030|
Aceite de canola|Z005|
Aceite de canola, para cocción|Z032|
Aceite de chía|Z023|
Aceite de chía, para cocción|Z036|
Aceite de coco|Z022|
Aceite de coco, para cocción|Z034|
Aceite de girasol|Z001|
Aceite de girasol alto oleico|Z020|
Aceite de girasol alto oleico, para cocción|Z027|
Aceite de girasol, para cocción|Z026|
Aceite de maíz|Z002|
Aceite de maíz, para cocción|Z028|
Aceite mezcla con oliva|Z021|
Aceite mezcla con oliva, para cocción|Z029|
Aceite de oliva|Z004|
Aceite de oliva, para cocción|Z031|
Aceite de sésamo|Z042|
Aceite de soja|Z007|
Aceite de soja, para cocción|Z035|
Aceite de uva|Z006|
Aceite de uva, para cocción|Z033|
Aceite para cocción, PROMEDIO|Z025|
Aceite, PROMEDIO|Z000|
Rocío vegetal|Z024|
Rocío vegetal, para cocción|Z037|
Alimento a base de almendras (leche de almendras)|Z043|
Alimento a base de castañas (leche de castañas)|Z040|
Alimento a base de almendras con chocolate (chocolatada)|Z050|
Almendra|Z008|
Avellana|Z009|
Gomasio (sésamo integral tostado y molido con sal marina)|Z045|
Maní tostado salado|Z011|Copetín
Maní tostado sin sal|Z010|
Mantequilla de maní|Z048|
Mezcla de semillas (sésamo, amapola, amaranto) y almendras o similar,fortificado con calcio|Z047|
Mix de frutos secos, semillas y pasas de uva|Z016|
Nuez|Z012|
Pistacho|Z013|
Pistacho salado|Z038|Copetín
Semilla de chía|Z041|
Semilla de girasol|Z014|
Semilla de girasol con sal y con cáscara|Z049|
Semilla de sésamo|Z015|
Semilla de zapallo|Z044|
Semilla de amapola|Z046|
Semilla de lino|Z039|
Azúcar blanca molida|D003|
Azúcar light|D070|
Azúcar impalpable|D127|
Azúcar morena / azúcar mascabo|D004|
Edulcorante en polvo con aspartamo y acesulfame k|D083|
Edulcorante en polvo con sacarina y ciclamato (tipo Hileret clásico 1 a 10, Sucaryl clásico)|D084|
Edulcorante en polvo con stevia|D085|
Edulcorante en polvo, PROMEDIO|D071|
Edulcorante en polvo con sucralosa|D086|
Edulcorante en tabletas o comprimidos con aspartamo y acesulfame k|D093|
Edulcorante en tabletas o comprimidos con ciclamato y sacarina|D094|
Edulcorante en tabletas o comprimidos sin identificar|D092|
Edulcorante líquido con ciclamato, sacarina y sucralosa|D091|
Edulcorante líquido con aspartamo|D088|
Edulcorante líquido con sacarina y ciclamato|D089|
Edulcorante líquido con stevia|D072|
Edulcorante líquido con sucralosa|D090|
Edulcorante líquido, PROMEDIO|D087|
Glucosa|D116|
Alfajor de arroz|D037|Golosinas
Alfajor de chocolate|D001|Golosinas
Alfajor de chocolate con relleno tipo mousse|D028|Golosinas
Alfajor de dulce de leche|D002|Golosinas
Alfajor de fruta|D036|Golosinas
Alfajor de maicena|D029|Golosinas
Alfajor de miel|D107|Golosinas
Alfajor light|D035|Golosinas
Alfajor santafesino, tapas cubiertas con glasé|D104|Golosinas
Algodón de azúcar|D118|Golosinas
Bananita con cobertura de chocolate|D102|Golosinas
Barra proteica|D132|Golosinas
Barra de arroz rellena bañada|D041|Golosinas
Bombones de fruta|D044|Golosinas
Caramelos duros|D014|Golosinas
Caramelos duros light|D015|Golosinas
Caramelos masticables|D013|Golosinas
Caramelos rellenos|D012|Golosinas
Chicles|D042|Golosinas
Chicles sin azúcar|D043|Golosinas
Chupetín|D047|Golosinas
Conito de dulce de leche envasado|D034|Golosinas
Crema saborizada envasada tipo Ducrem|D110|Golosinas
Cubanito relleno|D033|Golosinas
Garrapiñada de maní|D080|Golosinas
Golosinas de merengue y cucurucho tipo Heladitos / Gallinitas|D125|Golosinas
Gomitas de gelatina|D048|Golosinas
Habanitos de chocolate|D122|Golosinas
Malvaviscos|D101|Golosinas
Merengues / merenguitos|D040|Golosinas
Mielcitas|D106|Golosinas
Minitorta bañada|D038|Golosinas
Oblea bañada tipo Kit Kat|D032|Golosinas
Oblea bañada tipo Nugaton|D039|Golosinas
Pastillas|D045|Golosinas
Pastillas sin azúcar|D046|Golosinas
Postre a base de pasta de maní, tipo Mantecol|D049|Golosinas
Rhodesia|D030|Golosinas
Tableta de dulce de leche light|D079|Golosinas
Tableta de dulce de leche|D078|Golosinas
Tita|D031|Golosinas
Baño de repostería para cubrir tortas|D052|Golosinas
Barra de chocolate tipo Kinder|D053|Golosinas
Bocadito con dulce de leche tipo Cabsha|D054|Golosinas
Bocadito tipo Dos Corazones|D113|Golosinas
Bocadito tipo Marroc|D115|Golosinas
Bombón tipo Bon O Bon|D055|Golosinas
Bombón de chocolate relleno de licor|D129|Golosinas
Cacao amargo*|D050|
Cacao en polvo sin fortificar*|D018|
Cacao en polvo tipo Nesquik*|D051|
Cacao en polvo tipo Zucoa / Zucoa Max instantáneo otros sabores*|D108|
Cacao, cascarilla*|D117|
Chips de chocolate|D123|
Chocolate 60% cacao o más|D057|
Chocolate amargo|D126|Golosinas
Chocolate blanco|D058|Golosinas
Chocolate con almendras|D059|Golosinas
Chocolate con maní|D056|Golosinas
Chocolate relleno con pasta de maní tipo Snickers|D119|Golosinas
Chocolate light|D060|Golosinas
Chocolate para taza|D016|Golosinas
Chocolate relleno de dulce deTrue leche tipo Tofi|D095|Golosinas
Chocolatín / chocolate con leche|D017|Golosinas
Huevo de chocolate tipo Kinder|D061|Golosinas
Lentejas de chocolate|D063|Golosinas
Maní con chocolate|D062|Golosinas
Medallón de menta y chocolate|D131|Golosinas
Pasas de uva con chocolate|D133|Golosinas
Bombón helado|D066|Golosinas
Helado de agua (heladería)|D064|Golosinas
Helado de agua (palito)|D019|Golosinas
Helado de crema (heladería)|D020|Golosinas
Helado de crema envasado|D065|Golosinas
Helado envasado con cucurucho, PROMEDIO|D067|Golosinas
Polvo para preparar helado*|D068|Golosinas
Torta helada envasada (crema helada varios sabores con base de galleta)|D111|Golosinas
Almíbar|D100|
Arrope|D026|
Crema de avellanas con cacao tipo Nutella|D114|Golosinas
Dulce de batata|D005|
Dulce de batata light|D081|
Dulce de cayote|D073|
Dulce de leche|D008|
Dulce de leche light|D077|
Dulce de mamón|D120|
Dulce de membrillo|D006|
Dulce de membrillo light|D082|
Dulce de zapallo (compacto)|D128|
Fondant|D130|
Grana para decorar tortas|D098|
Jalea tipo membrillo|D007|
Kero o melaza|D027|
Mermelada de frutas|D010|
Mermelada de frutas light|D025|
Miel|D011|
Miel de caña|D134|
Pulpa de frutas para repostería, coberturas y rellenos (frutilla, arándano o maracuyá)|D099|
Rapadura|D105|
Relleno y cobertura para repostería lista para batir, varios sabores|D109|
Saborizadores Tecknofood, sabores varios (malta, vainilla)|D124|
Salsa topping de chocolate|D097|
Salsa topping de dulce de leche|D096|
Chicharrón|G017|
Crema de leche|G013|
Crema chantilly (lista para consumir, aerosol o industrial preparada)|G018|
Crema light|G016|
Grasa de cerdo|G008|
Grasa de pollo|G019|
Grasa vacuna|G009|
Manteca|G010|
Manteca light|G015|
Margarina (en pote y en pan)|G011|
Margarina untable light|G012|
Palitos aireados de harina de maíz o de colores|O013|Copetín
Palitos salados|O014|Copetín
Papas fritas de copetín|O015|Copetín
Maní japonés|O043|Copetín
Nachos|O028|Copetín
Snacks saborizados salados a base de maíz|O041|Copetín
Snacks saborizados salados a base de sémola de arroz, horneados, tipo Palitos de arroz / aros de cebolla |O044|Copetín
Aceto balsámico|O022|
Aderezo Salsa Alioli|O048|
Aderezo Caesar o Ranch|O021|
Aderezo para ensaladas light|O045|
Aderezo Salsa Cheddar|O037|
Jugo de limón, envasado|B069|
Ketchup|O005|
Mayonesa|O001|
Mayonesa light|O002|
Mayonesa de soja|O003|
Mostaza|O006|
Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola, napolitana, con o sin verdeo, etc.)|O035|
Salsa agridulce|O047|
Salsa barbacoa|O020|
Salsa blanca en polvo envasada*|O049|
Salsa chimichurri envasada|O051|
Salsa deshidratada varios sabores, polvo*|O046|
Salsa de soja|O034|
Salsa Golf|O004|
Salsa para guiso campero envasada, fortificada*|O040|
Vinagre|O023|
Caldos en cubo*|O007|
Caldos en polvo*|O039|
Caldos en polvo light*|O008|
Caldos en polvo sin sal light*|O009|
Sopa crema instantánea preparada|O010|
Sopa crema preparada a partir de polvo premezcla light|O011|
Sopa crema preparada a partir de polvo premezcla sin sal light|O012|
Saborizador en cubos|O024|
Saborizador en polvo|O038|
Sopa de fideos deshidratada envasada para preparar*|O025|
Sopa crema instantánea, polvo para preparar (sabores varios)*|O029|
Sopa crema instantánea, polvo para preparar light (sabores varios)*|O030|
Sopa de vegetales instantánea, polvo para preparar*|O036|
Arroz con leche envasado listo para consumir|D103|
Arroz con leche envasado sabor caramelo, fortificado|D121|
Gelatina envasada lista para consumir|D069|
Gelatina light, preparada a partir de polvo|D022|
Gelatina preparada a partir de polvo|D021|
Polvo para preparar flan*|D009|
Polvo para preparar postre lácteo*|D075|
Polvo para preparar postre lácteo light*|D076|
Polvo para preparar mousse de limón / chocolate*|D112|
Bicarbonato de sodio|O042|
Sal|O026|
Sal Marina|O050|
Sal dietética o modificada, PROMEDIO|O033|
Sal dietética, sin sodio|O027|
Sal modificada, 33% Cloruro de sodio|O031|
Sal modificada, 66% Cloruro de sodio|O032|
Achilate / achilata|B055|
Agua saborizada Aquarius, varios sabores|B044|Bebidas azucaradas
Agua saborizada Awafrut, varios sabores|B046|Bebidas azucaradas
Agua saborizada con azúcar, PROMEDIO|B030|Bebidas azucaradas
Agua saborizada Levité, varios sabores|B045|Bebidas azucaradas
Agua saborizada tipo Sierra de los Padres, Manaos, otros|B047|Bebidas azucaradas
Amargo serrano*|B001|
Bebida a base de soja y jugo, varios sabores|B003|Bebidas azucaradas
Bebida a base de soja y jugo, varios sabores light|B004|
Bebida a base de soja sabor natural|B020|Bebidas azucaradas
Gaseosa con azúcar, PROMEDIO|B008|Bebidas azucaradas
Gaseosa con azúcar, sabor cola|B021|Bebidas azucaradas
Gaseosa con azúcar, sabor lima limón|B022|Bebidas azucaradas
Gaseosa con azúcar, sabor naranja|B023|Bebidas azucaradas
Gaseosa con azúcar, sabor pomelo|B024|Bebidas azucaradas
Gaseosa con azúcar, agua tónica|B025|Bebidas azucaradas
Gatorade, varios sabores|B037|Bebidas azucaradas
Jugo congelado con azúcar en sachet|B054|Bebidas azucaradas
Jugo de fruta envasado varios sabores|B010|Bebidas azucaradas
Jugo en polvo con azúcar, PROMEDIO*|B011|
Jugo en polvo con azúcar*|B053|
Jugo concentrado con azúcar para diluir*|B014|
Powerade, varios sabores|B038|Bebidas azucaradas
Agua saborizada H2O, varios sabores|B049|Bebidas azucaradas
Agua saborizada Flip light|B051|
Agua saborizada Levité Cero, varios sabores light|B048|Bebidas azucaradas
Agua saborizada light, PROMEDIO|B031|
Agua saborizada We o Ser ligth|B050|Bebidas azucaradas
Amargo serrano light*|B002|
Gaseosa light, PROMEDIO|B009|
Gaseosa light, Guaraná|B112|
Gaseosa light, sabor cola|B026|
Gaseosa light, sabor lima limón|B027|
Gaseosa light, sabor naranja|B028|
Gaseosa light, sabor pomelo|B029|
Gatorade Zero, varios sabores (sin azúcar)|B039|
Granadina Zero (sin azúcar)|B131|
Jugo en polvo BC*|B052|
Jugo en polvo light*|B012|
Jugo tipo BC, varios sabores (alimento líquido dietético con 50% de jugo y pulpa)|B121|
Jugo concentrado para diluir light*|B118|
Powerade Zero, varios sabores (sin azúcar)|B040|
Ananá Fizz|B129|Bebidas alcoholicas
Aperitivo, tipo Gancia|B119|Bebidas alcoholicas
Bebidas destiladas, PROMEDIO|B005|Bebidas alcoholicas
Bebida energizante|B041|Bebidas alcoholicas
Bebida mezcla de fernet con gaseosa sabor cola, lista para consumir|B113|Bebidas alcoholicas
Cerveza con alcohol|B006|Bebidas alcoholicas
Cerveza sin alcohol|B007|Bebidas alcoholicas
Champagne|B042|Bebidas alcoholicas
Chicha, bebida tradicional obtenida por fermentación del maíz|B128|Bebidas alcoholicas
Dr. Lemon|B115|Bebidas alcoholicas
Fernet|B043|Bebidas alcoholicas
Licor, PROMEDIO|B013|Bebidas alcoholicas
Sidra|B015|Bebidas alcoholicas
Vermouth|B016|Bebidas alcoholicas
Vino blanco|B017|Bebidas alcoholicas
Vino espumante, tipo Frizze|B120|Bebidas alcoholicas
Vino Mistela|B122|Bebidas alcoholicas
Vino rosado|B123|Bebidas alcoholicas
Vino tinto|B072|Bebidas alcoholicas
Vodka|B125|Bebidas alcoholicas
Agua con gas / soda|B111|
Agua de mar|B126|
Agua de lluvia, río, canal, arroyo o acequia|B109|
Agua de lluvia, río, canal, arroyo o acequia, hervida y/o con lavandina|B110|
Agua de perforación con bomba|B105|
Agua de perforación con bomba, hervida y/o con lavandina|B106|
Agua de pozo|B107|
Agua de pozo, hervida y/o con lavandina|B108|
Agua de red pública o agua corriente, dentro del hogar|B101|
Agua de red pública o agua corriente, filtrada (filtro o dispenser de agua)|B102|
Agua embotellada (bidón / botella)|B103|
Agua embotellada (bidón / botella), bajo contenido de sodio|B104|
Agua origen desconocido|B100|
Hielo para bebidas|B114|
Jugo de arándanos y chía|B078|Bebidas azucaradas
Jugo de arándanos, natural|B124|Bebidas azucaradas
Jugo de fruta, exprimido sin azúcar agregada, envasado|B032|Bebidas azucaradas
Jugo de fruta, pasteurizado no reconstituido|B033|Bebidas azucaradas
Jugo de limón, exprimido|B034|
Jugo de naranja, exprimido|B035|
Jugo de papaya, natural|B116|
Jugo de pomelo, exprimido|B036|
Café con leche en cápsula*|B117|
Café en saquitos (ingresar cantidad de saquitos)*|B073|
Café instantáneo (polvo o granulado con leche y azúcar para preparar)*|B060|
Café instantáneo descafeinado (polvo o granulado para preparar)*|B056|
Café instantáneo (polvo o granulado para preparar)*|B057|
Café molido en cápsula*|B059|
Café preparado a partir de grano molido (tipo café de filtro)|B058|
Capucchino instantáneo (polvo o granulado para preparar)*|B063|
Capucchino instantáneo (polvo o granulado para preparar light)*|B062|
Capucchino preparado|B061|
Infusión de hierbas en hebras tipo Boldo, Manzanilla, otros (ingresar cantidad en gramos)* |B127|
Infusión de hierbas en saquitos tipo Boldo, Manzanilla, otros (ingresar cantidad de saquitos)*|B068|
Mate cocido en saquitos (ingresar cantidad de saquitos)*|B065|
Malta instantánea polvo*|B130|
Té blanco en hebras (ingresar cantidad en gramos)*|B076|
Té blanco en saquitos (ingresar cantidad de saquitos)*|B075|
Té negro en hebras (ingresar cantidad en gramos)*|B071|
Té negro en saquitos (ingresar cantidad de saquitos)*|B066|
Té saborizado en saquitos, varios sabores (ingresar cantidad de saquitos)*|B077|
Té concentrado de hierbas Herbalife|B132|
Té verde en saquitos (ingresar cantidad de saquitos)*|B067|
Yerba mate para mate cebado (ingresar cantidad en gramos)*|B064|
Yerba mate para mate cocido (ingresar cantidad en gramos)*|B070|
Yerba mate para tereré (ingresar cantidad en gramos)*|B074|
McDonald's, BigMc (ingresar cantidad de porciones)|R053|Comida Rápida
McDonald's, Cajita Feliz, Hamburguesa con queso Grill (ingresar cantidad de porciones)|R046|Comida Rápida
McDonald's, Cajita Feliz, Hamburguesa Grill (ingresar cantidad de porciones)|R045|Comida Rápida
Mc Donald’s, Cajita Feliz, Mc Tostado (ingresar cantidad de porciones)|R043|Comida Rápida
Mc Donald’s, Cajita Feliz, Mc Nuggets X4 (ingresar cantidad de porciones)|R040|Comida Rápida
Mc Donald’s, Cajita Feliz, Papas Kids (ingresar cantidad de porciones)|R041|Comida Rápida
Mc Donald’s, Cajita Feliz, Papas pequeñas (ingresar cantidad de porciones)|R042|Comida Rápida
Mc Donald’s, Cajita Feliz, Tomate cherry 50g (ingresar cantidad de porciones)|R044|Comida Rápida
Mc Donald’s, Club House (ingresar cantidad de porciones)|R054|Comida Rápida
Mc Donald’s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo crispy (ingresar cantidad de porciones)|R058|Comida Rápida
Mc Donald’s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo grill (ingresar cantidad de porciones)|R059|Comida Rápida
Mc Donald’s, Cono (ingresar cantidad de porciones)|R064|Comida Rápida
Mc Donald’s, Cuarto de Libra (ingresar cantidad de porciones)|R052|Comida Rápida
Mc Donald’s, Doble Cuarto de Libra con queso (ingresar cantidad de porciones)|R049|Comida Rápida
Mc Donald’s, Hamburguesa (ingresar cantidad de porciones)|R047|Comida Rápida
Mc Donald’s, Hamburguesa con queso (ingresar cantidad de porciones)|R048|Comida Rápida
Mc Donald’s, Mcnífica (ingresar cantidad de porciones)|R050|Comida Rápida
Mc Donald’s, McNuggets x 10 (ingresar cantidad de porciones)|R056|Comida Rápida
Mc Donald’s, McPollo Grill (ingresar cantidad de porciones)|R057|Comida Rápida
Mc Donald’s, Papas grandes (ingresar cantidad de porciones)|R063|Comida Rápida
Mc Donald’s, Papas medianas (ingresar cantidad de porciones)|R062|Comida Rápida
Mc Donald’s, Papas pequeñas (ingresar cantidad de porciones)|R061|Comida Rápida
Mc Donald’s, Pollo Jr. (ingresar cantidad de porciones)|R060|Comida Rápida
Mc Donald’s, Sundae chocolate (ingresar cantidad de porciones)|R065|Comida Rápida
Mc Donald’s, Sundae dulce de leche (ingresar cantidad de porciones)|R066|Comida Rápida
Mc Donald’s, Mc Flurry Oreo (ingresar cantidad de porciones)|R068|Comida Rápida
Mc Donald’s, Sundae frutilla (ingresar cantidad de porciones)|R067|Comida Rápida
Mc Donald’s, Triple Mac (ingresar cantidad de porciones)|R051|Comida Rápida
Dextrosa en polvo*|S214|
Ensure Plus|S008|
Ensure Plus drink|S009|
Ensure polvo*|S007|
Espesan*|S187|
Floratil-Sccharomyces boulardii|S216|
Fortisip Standard|S224|
Frebini energy drink|S188|
Fresubin Powder Fibre*|S178|
Glucerna SR polvo*|S219|
Herbal Aloe concentrado (Herbalife)|S223|
Jevity|S225|
Kas Mil polvo*|S010|
MCT Oil-triglicéridos de cadena media (Nutricia Bagó)|S215|
Neocate polvo*|S222|
Nutramigen LGG* NO ES UNA FORMUAL INFANTIL??|S196|
Osmolite NH|S211|
Pediasure complete, en polvo*|S227|
Polimerosa*|S184|
Supportan|S228|
Supportan drink|S204|
